id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
2	nick bostrom (2013)	"<table><tr><td>Authors:</td><td>nick bostrom</td></tr><tr><td>Title:</td><td>existential risk prevention as global priority</td></tr><tr><td>Source:</td><td>global policy, 4(1), 15-31</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/https://doi.org/10.1111/1758-5899.12002	-0.5172	0.1264	9	230	33	387	11.61	2013	387	11.61
3	nick bostrom (2002)	"<table><tr><td>Authors:</td><td>nick bostrom</td></tr><tr><td>Title:</td><td>existential risks: analyzing human extinction scenarios and related hazards</td></tr><tr><td>Source:</td><td>[no source], 9</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"		-0.6515	0.0651	9	43	22	176	3.7625	2002	176	3.7625
4	shahar avin (2018)	"<table><tr><td>Authors:</td><td>shahar avin; bonnie c. wintle; julius weitzdörfer; seán ó héigeartaigh; william j. sutherland; m. j. rees</td></tr><tr><td>Title:</td><td>classifying global catastrophic risks</td></tr><tr><td>Source:</td><td>futures, 102, 20-26</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2018.02.001	-0.2876	0.4059	8	175	12	68	4.7262	2018	68	4.7262
7	simon beard (2021)	"<table><tr><td>Authors:</td><td>simon beard; lauren holt; asaf tzachor; luke kemp; shahar avin; phil torres; haydn belfield</td></tr><tr><td>Title:</td><td>assessing climate change’s contribution to global catastrophic risk</td></tr><tr><td>Source:</td><td>futures, 127, 102673-102673</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2020.102673	-0.2611	0.4807	7	225	48	41	5.3793	2021	41	5.3793
8	alexey turchin (2018a)	"<table><tr><td>Authors:</td><td>alexey turchin; david denkenberger</td></tr><tr><td>Title:</td><td>classification of global catastrophic risks connected with artificial intelligence</td></tr><tr><td>Source:</td><td>ai & society, 35(1), 147-163</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s00146-018-0845-5	-0.5558	-0.1071	1	171	22	53	3.6837	2018	53	3.6837
9	christian huggel (2022)	"<table><tr><td>Authors:</td><td>christian huggel; laurens m. bouwer; sirkku juhola; reinhard mechler; veruska muccione; ben orlove; ivo wallimann-helmer</td></tr><tr><td>Title:</td><td>the existential risk space of climate change</td></tr><tr><td>Source:</td><td>climatic change, 174(1-2)</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10584-022-03430-y	0.2465	0.4682	2	211	37	39	9.8359	2022	39	9.8359
10	seth d. baum (2014a)	"<table><tr><td>Authors:</td><td>seth d. baum; itsuki c. handoh</td></tr><tr><td>Title:</td><td>integrating the planetary boundaries and global catastrophic risk paradigms</td></tr><tr><td>Source:</td><td>ecological economics, 107, 13-21</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.ecolecon.2014.07.024	-0.3097	0.454	7	275	29	45	2.3818	2014	45	2.3818
11	alexey turchin (2018b)	"<table><tr><td>Authors:</td><td>alexey turchin; david denkenberger</td></tr><tr><td>Title:</td><td>global catastrophic and existential risks communication scale</td></tr><tr><td>Source:</td><td>futures, 102, 27-38</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2018.01.003	-0.5782	0.3091	9	254	37	30	2.0851	2018	30	2.0851
12	peter kareiva (2018)	"<table><tr><td>Authors:</td><td>peter kareiva; valerie carranza</td></tr><tr><td>Title:</td><td>existential risk due to ecosystem collapse: nature strikes back</td></tr><tr><td>Source:</td><td>futures, 102, 39-50</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2018.01.001	0.0893	0.6304	2	54	15	57	3.9617	2018	57	3.9617
13	john m. halstead (2018)	"<table><tr><td>Authors:</td><td>john m. halstead</td></tr><tr><td>Title:</td><td>stratospheric aerosol injection research and existential risk</td></tr><tr><td>Source:</td><td>futures, 102, 63-77</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2018.03.004	0.0639	0.5897	2	218	39	41	2.8496	2018	41	2.8496
14	colin butler (2018)	"<table><tr><td>Authors:</td><td>colin butler</td></tr><tr><td>Title:</td><td>climate change, health and existential risks to civilization: a comprehensive review (1989–2013)</td></tr><tr><td>Source:</td><td>international journal of environmental  research and public health/international journal of environmental research and public health, 15(10), 2266-2266</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.3390/ijerph15102266	0.2838	0.562	2	66	16	141	9.7999	2018	141	9.7999
15	hin-yan liu (2018)	"<table><tr><td>Authors:</td><td>hin-yan liu; kristian cedervall lauta; matthijs m. maas</td></tr><tr><td>Title:</td><td>governing boring apocalypses: a new typology of existential vulnerabilities and exposures for existential risk research</td></tr><tr><td>Source:</td><td>futures, 102, 6-19</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2018.04.009	-0.4567	0.0031	1	322	44	41	2.8496	2018	41	2.8496
16	tom cernev (2020)	"<table><tr><td>Authors:</td><td>tom cernev; richard fenner</td></tr><tr><td>Title:</td><td>the importance of achieving foundational sustainable development goals in reducing global risk</td></tr><tr><td>Source:</td><td>futures, 115, 102492-102492</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2019.102492	-0.313	0.3187	8	167	20	91	6.8342	2020	91	6.8342
17	james scouras (2019)	"<table><tr><td>Authors:</td><td>james scouras</td></tr><tr><td>Title:</td><td>nuclear war as a global catastrophic risk</td></tr><tr><td>Source:</td><td>journal of benefit-cost analysis, 10(2), 274-295</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1017/bca.2019.16	-0.5687	0.254	7	18	8	12	1.0348	2019	12	1.0348
18	karim jebari (2014a)	"<table><tr><td>Authors:</td><td>karim jebari</td></tr><tr><td>Title:</td><td>existential risks: exploring a robust risk reduction strategy</td></tr><tr><td>Source:</td><td>science and engineering ethics, 21(3), 541-554</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s11948-014-9559-3	-0.4226	0.2172	9	163	16	33	1.7466	2014	33	1.7466
19	bruce tonn (2013)	"<table><tr><td>Authors:</td><td>bruce tonn; dorian stiefel</td></tr><tr><td>Title:</td><td>evaluating methods for estimating existential risks</td></tr><tr><td>Source:</td><td>risk analysis, 33(10), 1772-1787</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/https://doi.org/10.1111/risa.12039	-0.4839	0.2188	9	85	31	26	0.78	2013	26	0.78
20	david manheim (2020a)	"<table><tr><td>Authors:</td><td>david manheim</td></tr><tr><td>Title:</td><td>the fragile world hypothesis: complexity, fragility, and systemic existential risk</td></tr><tr><td>Source:</td><td>futures, 122, 102570-102570</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2020.102570	-0.2975	0.1805	7	156	13	19	1.4269	2020	19	1.4269
21	piers millett (2017)	"<table><tr><td>Authors:</td><td>piers millett; andrew snyder‐beattie</td></tr><tr><td>Title:</td><td>existential risk and cost-effective biosecurity</td></tr><tr><td>Source:</td><td>health security, 15(4), 373-383</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/https://doi.org/10.1089/hs.2017.0028	-0.6134	0.1737	10	151	25	41	2.7688	2017	41	2.7688
22	gorm e. shackelford (2020)	"<table><tr><td>Authors:</td><td>gorm e. shackelford; luke kemp; catherine rhodes; lalitha sundaram; seán s. óhéigeartaigh; simon beard; haydn belfield; julius weitzdörfer; shahar avin; dag sørebø; elliot m. jones; john b. hume; david price; david m. pyle; daniel hurt; theodore stone; harry watkins; lydia collas; bryony c. cade; thomas f. johnson; zachary freitas-groff; david denkenberger; michael levot; william j. sutherland</td></tr><tr><td>Title:</td><td>accumulating evidence using crowdsourcing and machine learning: a living bibliography about existential risk and global catastrophic risk</td></tr><tr><td>Source:</td><td>futures, 116, 102508-102508</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2019.102508	-0.3561	0.301	8	211	8	9	0.6759	2020	9	0.6759
23	adrian currie (2019a)	"<table><tr><td>Authors:</td><td>adrian currie</td></tr><tr><td>Title:</td><td>existential risk, creativity &amp; well-adapted science</td></tr><tr><td>Source:</td><td>studies in history and philosophy of science. part a/studies in history and philosophy of science, 76, 39-48</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.shpsa.2018.09.008	-0.2612	0.0548	5	144	17	21	1.811	2019	21	1.811
24	andy majot (2015)	"<table><tr><td>Authors:</td><td>andy majot; roman v. yampolskiy</td></tr><tr><td>Title:</td><td>global catastrophic risk and security implications of quantum computers</td></tr><tr><td>Source:</td><td>futures, 72, 17-26</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2015.02.006	-0.5317	0.2017	7	138	5	26	2.358	2015	26	2.358
25	phil torres (2019a)	"<table><tr><td>Authors:</td><td>phil torres</td></tr><tr><td>Title:</td><td>existential risks: a philosophical analysis</td></tr><tr><td>Source:</td><td>inquiry, 66(4), 614-639</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1080/0020174x.2019.1658626	-0.3089	0.0761	5	257	17	14	1.2073	2019	14	1.2073
26	thomas moynihan (2020)	"<table><tr><td>Authors:</td><td>thomas moynihan</td></tr><tr><td>Title:</td><td>existential risk and human extinction: an intellectual history</td></tr><tr><td>Source:</td><td>futures, 116, 102495-102495</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.futures.2019.102495	-0.4075	0.2756	9	198	12	19	1.4269	2020	19	1.4269
27	lara mani (2021)	"<table><tr><td>Authors:</td><td>lara mani; asaf tzachor; paul cole</td></tr><tr><td>Title:</td><td>global catastrophic risk from lower magnitude volcanic eruptions</td></tr><tr><td>Source:</td><td>nature communications, 12(1)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1038/s41467-021-25021-8	-0.6258	0.7324	7	40	5	28	3.6736	2021	28	3.6736
